기준일,시도,시군구,먹는치료제 처방기관,전화번호,주소
24년 09월 16일 06시,서울,노원구,유진상내과의원,02-930-8433,"서울특별시 노원구 한글비석로 269, 301호 (중계동, 마들프라자)"
24년 09월 16일 06시,서울,서대문구,바램의원,02-365-7575,"서울특별시 서대문구 신촌로 155, 해암빌딩 7층 나호 (대현동)"
24년 09월 16일 06시,서울,동대문구,이소아과의원,02-2214-0495,"서울특별시 동대문구 사가정로 148, 302~4, 314호 (전농동)"
24년 09월 16일 06시,서울,양천구,혜담소아청소년과의원,02-2636-1100,"서울특별시 양천구 목동서로 67, 3층 (목동, 우성에펠타운)"
24년 09월 16일 06시,서울,강북구,조이비인후과의원,02-981-3219,"서울특별시 강북구 도봉로 53, (미아동)"
24년 09월 16일 06시,서울,노원구,한국원자력의학원원자력병원,02-970-2114,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)"
24년 09월 16일 06시,서울,송파구,김정훈내과의원,02-421-8067,"서울특별시 송파구 삼전로 99, (잠실동, 2층)"
24년 09월 16일 06시,서울,강북구,수민의원,02-905-4924,"서울특별시 강북구 한천로 977, (번동)"
24년 09월 16일 06시,서울,강남구,서울연세21세기의원,,"서울특별시 강남구 강남대로128길 20, 영동프라자 2층 206호 (논현동)"
24년 09월 16일 06시,서울,양천구,꿈나무소아과의원,02-2643-8155,"서울특별시 양천구 목동동로 379, 307호 (목동, 광장상가)"
24년 09월 16일 06시,서울,노원구,고려의원,02-3391-7215,"서울특별시 노원구 상계로 309-1, 명륜빌딩 (상계동)"
24년 09월 16일 06시,서울,서대문구,연세류내과의원,02-303-6318,"서울특별시 서대문구 수색로2길 16-1, 1,2층 (남가좌동)"
24년 09월 16일 06시,서울,구로구,김경효소아과의원,02-867-9570,"서울특별시 구로구 구일로8길 92, 205호 (구로동, 중앙구로하이츠아파트)"
24년 09월 16일 06시,서울,송파구,메디큐내과의원,02-6032-7001,"서울특별시 송파구 삼전로 77, 성원빌딩 2층 (잠실동)"
